,Year,Week_Nr,Open,High,Low,Volume,Close/Last
421,2022,34,232.55,233.475,224.59,8630094,226.54
420,2022,34,226.46,229.9,224.3,5276945,224.55
419,2022,34,225.66,234.1,223.94,5426316,229.61
418,2022,34,230.24,234.16,229.0,3766867,233.98
417,2022,34,233.625,236.95,223.15,5349848,223.28
416,2022,35,221.93,229.87,221.52,7109397,224.57
415,2022,35,226.66,229.79,218.74,5740434,220.65
414,2022,35,227.0,233.8787,223.43,8615906,223.56
413,2022,35,220.72,230.37,219.47,7292917,230.04
412,2022,35,231.03,233.8814,225.04,8164883,226.11
411,2022,36,225.59,226.85,214.69,7469016,218.39
410,2022,36,220.21,229.33,218.2681,8149329,228.96
409,2022,36,224.16,228.735,221.3,6737436,227.44
408,2022,36,229.62,234.7799,229.62,6702060,233.57
407,2022,37,233.61,239.49,233.37,6047425,236.53
406,2022,37,226.5,227.69,217.72,8000128,218.13
405,2022,37,219.82,228.0,215.8,8230340,224.12
404,2022,37,230.47,242.2871,229.1,19454120,235.38
403,2022,37,231.22,241.355,227.83,18914180,240.13
402,2022,38,245.05,245.25,235.75,17912370,243.63
401,2022,38,240.37,250.49,239.66,16037430,242.85
400,2022,38,242.67,248.2999,236.68,9166772,236.87
399,2022,38,235.35,240.5,231.66,10017970,237.05
398,2022,38,235.14,236.4499,221.43,11207230,226.41
397,2022,39,225.6,232.7,223.01,8234285,224.07
396,2022,39,228.63,230.64,220.72,7762223,224.36
395,2022,39,229.69,246.65,227.38,17579670,245.2
394,2022,39,241.61,246.98,235.68,18994940,239.71
393,2022,39,237.0,242.44,233.26,11848610,235.44
392,2022,40,237.85,241.54,232.85,8657443,239.04
391,2022,40,244.84,245.7999,233.25,13925850,240.74
390,2022,40,238.76,241.59,227.38,10825630,236.73
389,2022,40,236.68,244.28,233.9101,9188940,240.02
388,2022,40,235.77,237.33,224.28,9806128,224.75
387,2022,41,225.64,233.83,224.23,9991145,229.98
386,2022,41,226.05,230.44,213.7,15282410,214.29
385,2022,41,214.3,223.67,212.64,12952640,220.87
384,2022,41,212.69,234.47,211.73,17505010,232.51
383,2022,41,237.8,238.8,229.51,15293400,230.0
